draw_number,date,machine_name,N1,N2,N3,N4,N5,tickets_sold,jackpot,div1_wniners,div1_prize,div2_wniners,div2_prize,div3_wniners,div3_prize,div4_wniners,div4_prize,total_sales_R,total_winners,total_winnings
1864,20-April-2024,NG 2,8,14,17,28,33,899365,480260.9,1,480260.9,359,308.2,11055,20.0,106113,5.1,2698095,117528,1353181.0
1865,21-April-2024,NG 2,4,9,11,24,26,645813,300000.0,0,300000.0,263,1613.3,8564,18.6,80415,4.8,1937439,89242,969580.3
1866,22-April-2024,NG 2,4,10,12,13,36,832565,444589.8,3,148196.6,301,340.2,10253,20.0,102319,4.9,2497695,112876,1253413.1
1867,23-April-2024,NG 2,6,12,23,35,36,952189,508468.8,4,127117.2,351,333.7,11500,20.3,114566,4.9,2856567,126421,1420420.9
1868,24-April-2024,NG 2,3,5,26,28,33,882196,471092.8,2,235546.4,307,353.4,10395,20.9,105479,5.0,2646588,116183,1324237.1
1869,25-April-2024,NG 2,5,8,10,21,30,1090292,582216.0,6,97036.0,448,299.4,13824,19.4,130863,5.0,3270876,145141,1638847.8
1870,26-April-2024,NG 2,6,7,9,17,30,1252489,668829.0,5,133765.8,562,274.1,16318,18.9,155625,4.8,3757467,172510,1878283.4
1871,27-April-2024,NG 2,7,11,15,17,23,1013419,541165.5,5,108233.1,522,238.8,14215,17.5,126411,4.8,3040257,141153,1521354.4
1872,28-April-2024,NG 2,6,9,29,31,34,752005,401570.9,1,401570.9,309,299.3,9027,20.5,89279,5.0,2256015,98616,1125503.1
1873,29-April-2024,NG 2,7,9,25,26,36,1000326,534174.1,1,534174.1,369,333.4,11688,21.1,119787,5.0,3000978,131845,1502750.5
1874,30-April-2024,NG 2,1,22,30,32,35,1191901,636475.1,1,636475.1,419,349.9,13411,21.8,134825,5.3,3575703,148656,1790015.5
1875,01-May-2024,NG 2,3,7,14,20,29,1020954,545189.4,2,272594.7,461,272.4,12639,19.9,123277,4.9,3062862,136379,1526339.2
1876,02-May-2024,NG 3,2,8,25,29,31,1116194,596047.6,2,298023.8,412,333.3,12664,21.7,129806,5.1,3348582,142884,1670186.6
1877,03-May-2024,NG 3,2,5,18,24,26,1420555,758576.4,3,252858.8,543,321.8,17123,20.4,170750,5.0,4261665,188419,2136373.0
1878,04-May-2024,NG 3,9,23,24,32,34,1094868,584659.6,2,292329.8,408,330.0,12740,21.2,127419,5.1,3284604,140569,1639224.5
1879,05-May-2024,NG 3,14,17,18,28,31,768795,410536.4,1,410536.4,301,314.2,8986,21.0,88481,5.2,2306385,97769,1153917.8
1880,06-May-2024,NG 3,3,6,10,11,31,997757,532802.4,3,177600.8,410,299.3,12812,19.1,123534,4.8,2993271,136759,1493187.8
1881,07-May-2024,NG 2,1,5,11,22,28,1157529,618120.5,5,123624.1,507,280.8,14952,19.1,142320,4.9,3472587,157784,1743437.3
